,DSFA,DWM,AWE,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
75,0.997,0.932,0.5,0.979,0.998,0.936,0.942,0.97,0.979,0.94
76,0.991,0.94,0.5,0.977,0.995,0.939,0.949,0.959,0.977,0.861
77,0.994,0.947,0.5,0.985,0.998,0.947,0.938,0.969,0.984,0.926
78,0.993,0.942,0.5,0.974,0.994,0.941,0.954,0.973,0.985,0.899
79,0.994,0.943,0.5,0.974,0.997,0.942,0.939,0.97,0.984,0.91
80,0.995,0.932,0.5,0.97,0.995,0.93,0.936,0.973,0.984,0.88
81,0.992,0.945,0.5,0.981,0.998,0.945,0.928,0.966,0.979,0.919
82,0.998,0.956,0.5,0.986,0.999,0.954,0.931,0.98,0.987,0.872
83,0.998,0.952,0.5,0.976,0.996,0.952,0.942,0.972,0.98,0.929
84,0.996,0.946,0.5,0.98,0.996,0.943,0.945,0.966,0.976,0.916
85,0.994,0.943,0.5,0.985,0.996,0.953,0.95,0.974,0.994,0.886
86,0.99,0.944,0.5,0.978,0.995,0.949,0.951,0.971,0.969,0.937
87,0.991,0.936,0.5,0.975,0.995,0.94,0.944,0.968,0.978,0.922
88,0.993,0.944,0.5,0.986,0.998,0.948,0.966,0.981,0.988,0.883
89,0.994,0.937,0.5,0.982,0.997,0.938,0.928,0.966,0.975,0.874
90,0.996,0.955,0.5,0.984,0.999,0.957,0.968,0.98,0.989,0.923
91,0.997,0.942,0.5,0.984,0.997,0.943,0.945,0.97,0.982,0.936
92,0.996,0.948,0.5,0.982,0.997,0.948,0.939,0.975,0.983,0.896
93,0.996,0.939,0.5,0.976,0.999,0.94,0.945,0.98,0.982,0.891
94,0.992,0.95,0.5,0.981,0.993,0.95,0.944,0.974,0.98,0.874
95,0.995,0.956,0.5,0.988,0.997,0.958,0.939,0.977,0.985,0.92
96,0.995,0.928,0.5,0.975,0.996,0.932,0.935,0.955,0.97,0.871
97,0.997,0.943,0.5,0.98,0.998,0.947,0.947,0.969,0.982,0.898
98,0.997,0.939,0.5,0.977,0.997,0.947,0.943,0.979,0.979,0.883
99,0.995,0.936,0.5,0.975,0.999,0.936,0.931,0.968,0.986,0.886
