,DSFA,ht,arf
333,0.7865748709122203,0.7865748709122203,0.76592082616179
334,0.7917383820998278,0.7917383820998278,0.7796901893287436
335,0.7882960413080895,0.7882960413080895,0.8089500860585198
336,0.7573149741824441,0.7573149741824441,0.7641996557659209
337,0.7934595524956971,0.7934595524956971,0.8055077452667814
338,0.7521514629948365,0.7521514629948365,0.7487091222030982
339,0.7710843373493976,0.7710843373493976,0.7969018932874354
340,0.76592082616179,0.76592082616179,0.7710843373493976
341,0.7865748709122203,0.7865748709122203,0.8089500860585198
342,0.7624784853700516,0.7624784853700516,0.7504302925989673
343,0.7779690189328744,0.7779690189328744,0.7848537005163512
344,0.76592082616179,0.76592082616179,0.7986230636833046
345,0.7934595524956971,0.7934595524956971,0.8055077452667814
346,0.7831325301204819,0.7831325301204819,0.8072289156626506
347,0.7796901893287436,0.7796901893287436,0.8261617900172117
348,0.7917383820998278,0.7917383820998278,0.7986230636833046
349,0.7607573149741824,0.7607573149741824,0.7934595524956971
350,0.774526678141136,0.774526678141136,0.7900172117039587
351,0.7521514629948365,0.7521514629948365,0.7986230636833046
352,0.76592082616179,0.76592082616179,0.7641996557659209
353,0.76592082616179,0.76592082616179,0.7848537005163512
354,0.7779690189328744,0.7779690189328744,0.7762478485370051
355,0.7762478485370051,0.7762478485370051,0.7934595524956971
356,0.7487091222030982,0.7487091222030982,0.7676419965576592
357,0.7951807228915663,0.7951807228915663,0.7917383820998278
358,0.8037865748709122,0.8037865748709122,0.8364888123924269
359,0.7865748709122203,0.7865748709122203,0.8158347676419966
360,0.7762478485370051,0.7762478485370051,0.7917383820998278
361,0.7538726333907056,0.7538726333907056,0.802065404475043
362,0.7624784853700516,0.7624784853700516,0.7710843373493976
363,0.7779690189328744,0.7779690189328744,0.76592082616179
364,0.7676419965576592,0.7676419965576592,0.8003442340791739
365,0.7641996557659209,0.7641996557659209,0.802065404475043
366,0.7641996557659209,0.7641996557659209,0.7796901893287436
367,0.7779690189328744,0.7779690189328744,0.7917383820998278
368,0.7538726333907056,0.7538726333907056,0.8003442340791739
369,0.7710843373493976,0.7710843373493976,0.8089500860585198
370,0.7676419965576592,0.7676419965576592,0.7676419965576592
371,0.7848537005163512,0.7848537005163512,0.8072289156626506
372,0.7814113597246127,0.7814113597246127,0.8158347676419966
373,0.7848537005163512,0.7848537005163512,0.8055077452667814
374,0.7624784853700516,0.7624784853700516,0.7469879518072289
375,0.7865748709122203,0.7865748709122203,0.8072289156626506
376,0.76592082616179,0.76592082616179,0.7814113597246127
377,0.774526678141136,0.774526678141136,0.7779690189328744
378,0.8123924268502581,0.8123924268502581,0.7969018932874354
379,0.7504302925989673,0.7504302925989673,0.7814113597246127
380,0.7624784853700516,0.7624784853700516,0.7607573149741824
381,0.7710843373493976,0.7710843373493976,0.7487091222030982
382,0.7366609294320138,0.7366609294320138,0.76592082616179
383,0.7951807228915663,0.7951807228915663,0.7934595524956971
384,0.7848537005163512,0.7848537005163512,0.7986230636833046
385,0.7693631669535284,0.7693631669535284,0.7934595524956971
386,0.7676419965576592,0.7676419965576592,0.802065404475043
387,0.7728055077452668,0.7728055077452668,0.7814113597246127
388,0.7779690189328744,0.7779690189328744,0.7882960413080895
389,0.7728055077452668,0.7728055077452668,0.7986230636833046
390,0.7779690189328744,0.7779690189328744,0.8141135972461274
391,0.76592082616179,0.76592082616179,0.7814113597246127
392,0.7969018932874354,0.7969018932874354,0.7848537005163512
393,0.7969018932874354,0.7969018932874354,0.810671256454389
394,0.7710843373493976,0.7710843373493976,0.7969018932874354
395,0.7710843373493976,0.7710843373493976,0.8055077452667814
396,0.7728055077452668,0.7728055077452668,0.8175559380378657
397,0.7538726333907056,0.7538726333907056,0.7710843373493976
398,0.7504302925989673,0.7504302925989673,0.7487091222030982
399,0.7969018932874354,0.7969018932874354,0.8123924268502581
400,0.7882960413080895,0.7882960413080895,0.8072289156626506
401,0.7951807228915663,0.7951807228915663,0.7900172117039587
402,0.7710843373493976,0.7710843373493976,0.7986230636833046
403,0.7865748709122203,0.7865748709122203,0.7900172117039587
404,0.7831325301204819,0.7831325301204819,0.7831325301204819
405,0.8158347676419966,0.8158347676419966,0.7779690189328744
406,0.7969018932874354,0.7969018932874354,0.8072289156626506
407,0.7676419965576592,0.7676419965576592,0.7435456110154905
408,0.7693631669535284,0.7693631669535284,0.7452667814113597
409,0.7487091222030982,0.7487091222030982,0.7401032702237521
410,0.7951807228915663,0.7951807228915663,0.774526678141136
411,0.7607573149741824,0.7607573149741824,0.7538726333907056
412,0.7762478485370051,0.7762478485370051,0.7332185886402753
413,0.7900172117039587,0.7900172117039587,0.7710843373493976
414,0.7917383820998278,0.7917383820998278,0.7177280550774526
415,0.774526678141136,0.774526678141136,0.7366609294320138
416,0.8296041308089501,0.8296041308089501,0.802065404475043
417,0.7934595524956971,0.7934595524956971,0.7814113597246127
418,0.802065404475043,0.802065404475043,0.7693631669535284
419,0.7986230636833046,0.7986230636833046,0.7469879518072289
420,0.7573149741824441,0.7573149741824441,0.7710843373493976
421,0.7969018932874354,0.7969018932874354,0.7917383820998278
422,0.802065404475043,0.802065404475043,0.7779690189328744
423,0.7831325301204819,0.7831325301204819,0.7469879518072289
424,0.7969018932874354,0.7969018932874354,0.7435456110154905
425,0.8003442340791739,0.8003442340791739,0.7555938037865749
426,0.7814113597246127,0.7814113597246127,0.7676419965576592
427,0.8003442340791739,0.8003442340791739,0.7452667814113597
428,0.7728055077452668,0.7728055077452668,0.7624784853700516
429,0.7951807228915663,0.7951807228915663,0.7624784853700516
430,0.7728055077452668,0.7728055077452668,0.7538726333907056
431,0.8055077452667814,0.8055077452667814,0.7607573149741824
432,0.7676419965576592,0.7676419965576592,0.7555938037865749
433,0.8158347676419966,0.8158347676419966,0.7900172117039587
434,0.8055077452667814,0.8055077452667814,0.7848537005163512
435,0.8089500860585198,0.8089500860585198,0.7814113597246127
436,0.7848537005163512,0.7848537005163512,0.7917383820998278
437,0.8055077452667814,0.8055077452667814,0.7934595524956971
438,0.7814113597246127,0.7814113597246127,0.7108433734939759
439,0.7624784853700516,0.7624784853700516,0.7573149741824441
440,0.8037865748709122,0.8037865748709122,0.774526678141136
441,0.8141135972461274,0.8141135972461274,0.7900172117039587
442,0.7641996557659209,0.7641996557659209,0.7676419965576592
443,0.7969018932874354,0.7969018932874354,0.8278829604130808
