,GCUW,DWM,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
1,0.942,0.908,0.964,0.944,0.908,0.904,0.946,0.942,0.934
2,0.944,0.856,0.954,0.948,0.856,0.934,0.954,0.944,0.944
3,0.946,0.934,0.954,0.956,0.928,0.928,0.952,0.948,0.946
4,0.924,0.886,0.94,0.95,0.888,0.936,0.932,0.926,0.924
5,0.934,0.914,0.942,0.956,0.914,0.918,0.946,0.934,0.94
6,0.93,0.912,0.944,0.96,0.906,0.902,0.938,0.93,0.93
7,0.944,0.938,0.93,0.968,0.93,0.906,0.924,0.916,0.92
8,0.938,0.882,0.94,0.956,0.882,0.908,0.916,0.912,0.912
9,0.964,0.87,0.954,0.966,0.888,0.9,0.942,0.916,0.912
10,0.962,0.89,0.944,0.968,0.878,0.908,0.918,0.9,0.912
11,0.954,0.948,0.94,0.958,0.892,0.89,0.916,0.902,0.9
12,0.95,0.892,0.9,0.936,0.882,0.864,0.906,0.868,0.874
13,0.916,0.878,0.904,0.922,0.888,0.836,0.884,0.87,0.868
14,0.914,0.878,0.884,0.914,0.872,0.84,0.898,0.838,0.86
15,0.888,0.878,0.87,0.884,0.856,0.814,0.87,0.828,0.814
16,0.874,0.882,0.824,0.85,0.85,0.824,0.842,0.834,0.824
17,0.87,0.9,0.804,0.85,0.848,0.854,0.866,0.832,0.802
18,0.828,0.904,0.776,0.838,0.804,0.81,0.836,0.842,0.818
19,0.822,0.88,0.742,0.834,0.79,0.786,0.846,0.828,0.718
20,0.83,0.894,0.742,0.864,0.798,0.786,0.85,0.866,0.748
21,0.816,0.912,0.71,0.86,0.772,0.774,0.832,0.846,0.794
22,0.892,0.918,0.694,0.886,0.77,0.75,0.81,0.858,0.754
23,0.852,0.904,0.678,0.884,0.734,0.798,0.844,0.852,0.652
24,0.852,0.926,0.65,0.926,0.754,0.77,0.85,0.886,0.61
25,0.818,0.926,0.584,0.936,0.74,0.776,0.864,0.906,0.828
26,0.904,0.916,0.548,0.924,0.726,0.8,0.862,0.892,0.772
27,0.914,0.918,0.562,0.932,0.78,0.762,0.852,0.894,0.782
28,0.852,0.94,0.566,0.956,0.784,0.8,0.838,0.886,0.75
29,0.904,0.922,0.524,0.942,0.786,0.812,0.872,0.892,0.78
30,0.932,0.912,0.502,0.942,0.8,0.748,0.874,0.894,0.794
31,0.954,0.946,0.502,0.962,0.806,0.806,0.866,0.898,0.766
32,0.938,0.924,0.508,0.948,0.794,0.862,0.88,0.91,0.844
33,0.95,0.942,0.542,0.946,0.85,0.866,0.91,0.92,0.836
34,0.93,0.9,0.55,0.962,0.832,0.832,0.896,0.904,0.81
35,0.936,0.936,0.642,0.964,0.864,0.878,0.9,0.918,0.888
36,0.924,0.93,0.652,0.964,0.872,0.89,0.932,0.918,0.87
37,0.958,0.956,0.772,0.966,0.87,0.9,0.934,0.92,0.89
38,0.95,0.96,0.878,0.966,0.902,0.902,0.928,0.932,0.896
39,0.908,0.936,0.864,0.946,0.882,0.898,0.926,0.922,0.886
40,0.94,0.942,0.886,0.952,0.87,0.846,0.9,0.902,0.868
41,0.944,0.964,0.904,0.978,0.91,0.886,0.938,0.94,0.926
42,0.954,0.948,0.894,0.97,0.88,0.874,0.93,0.94,0.908
43,0.97,0.974,0.91,0.98,0.9,0.942,0.954,0.962,0.938
44,0.964,0.966,0.9,0.972,0.896,0.896,0.944,0.954,0.926
