,GCUW,DWM,Batch_I,ARF,AEE,LeverBagg,OzaBagg,SRP,oBoost
87,0.94,0.932,0.934,0.95,0.932,0.938,0.942,0.944,0.942
88,0.942,0.95,0.94,0.966,0.942,0.936,0.952,0.954,0.914
89,0.96,0.954,0.958,0.976,0.948,0.946,0.954,0.966,0.954
90,0.946,0.94,0.956,0.958,0.93,0.924,0.962,0.962,0.882
91,0.952,0.946,0.96,0.964,0.938,0.948,0.952,0.96,0.93
92,0.938,0.926,0.928,0.952,0.926,0.936,0.946,0.938,0.914
93,0.962,0.944,0.96,0.976,0.948,0.942,0.96,0.964,0.92
94,0.944,0.938,0.936,0.96,0.936,0.93,0.952,0.944,0.93
95,0.958,0.95,0.952,0.972,0.946,0.936,0.948,0.962,0.918
96,0.944,0.934,0.926,0.956,0.926,0.924,0.938,0.93,0.928
97,0.96,0.954,0.942,0.974,0.948,0.92,0.954,0.95,0.938
98,0.942,0.944,0.936,0.956,0.938,0.932,0.942,0.952,0.902
99,0.954,0.938,0.952,0.966,0.936,0.956,0.952,0.958,0.936
